seed,single_f1,single_auc,multi_f1,multi_auc
1,0.7571428571428571,0.7840909090909091,0.7312252964426877,0.7537878787878788
2,0.6007226738934056,0.571969696969697,0.6899696048632218,0.6666666666666666
3,0.47692307692307695,0.7196969696969697,0.7509157509157509,0.7916666666666666
4,0.6899696048632218,0.7272727272727272,0.7424242424242424,0.7196969696969696
5,0.5868055555555556,0.7575757575757576,0.7166666666666667,0.6704545454545454
6,0.770048309178744,0.7765151515151515,0.6730769230769231,0.6098484848484849
7,0.6713211600429645,0.6818181818181818,0.6621499548328816,0.6553030303030303
8,0.5466666666666666,0.6704545454545454,0.6470588235294118,0.7196969696969697
9,0.5490716180371353,0.571969696969697,0.6730769230769231,0.6098484848484849
10,0.575,0.6325757575757576,0.6886446886446886,0.5757575757575758
11,0.5888372093023255,0.6363636363636364,0.7254901960784315,0.6856060606060607
12,0.6640316205533596,0.6856060606060607,0.59828141783029,0.5340909090909091
13,0.6713211600429645,0.6401515151515151,0.6640316205533596,0.6742424242424242
14,0.678030303030303,0.6704545454545454,0.7043478260869566,0.7007575757575757
15,0.5096153846153846,0.6856060606060606,0.7043478260869566,0.6515151515151515
16,0.5888372093023255,0.6893939393939394,0.6886446886446886,0.7159090909090909
17,0.575,0.5946969696969697,0.7312252964426877,0.6856060606060607
18,0.46031746031746035,0.6704545454545454,0.7166666666666667,0.6818181818181818
19,0.7424242424242424,0.6893939393939394,0.6386473429951691,0.5151515151515151
20,0.575,0.6363636363636364,0.6899696048632218,0.7159090909090908
21,0.5686274509803921,0.6742424242424242,0.6899696048632218,0.7083333333333334
22,0.652093023255814,0.7386363636363636,0.7235772357723578,0.7121212121212122
23,0.5686274509803921,0.6401515151515151,0.7153488372093023,0.6818181818181818
24,0.6210739614994933,0.7007575757575757,0.6458333333333333,0.696969696969697
25,0.6386473429951691,0.6818181818181819,0.6458333333333333,0.5946969696969697
26,0.6470588235294117,0.6515151515151515,0.652093023255814,0.7310606060606061
27,0.575,0.6553030303030303,0.6977777777777778,0.5984848484848485
28,0.46031746031746035,0.6022727272727273,0.6470588235294117,0.6212121212121212
29,0.5466666666666666,0.696969696969697,0.7043478260869566,0.678030303030303
30,0.5466666666666666,0.6060606060606061,0.6621499548328816,0.6325757575757576
31,0.46031746031746035,0.625,0.6210739614994933,0.6098484848484849
32,0.46031746031746035,0.7159090909090909,0.7043478260869566,0.6553030303030303
33,0.5968379446640316,0.6590909090909091,0.7235772357723578,0.7272727272727273
34,0.5521783181357649,0.75,0.7312252964426877,0.7234848484848484
35,0.5913461538461539,0.7272727272727273,0.678030303030303,0.6704545454545455
36,0.7588652482269503,0.7575757575757576,0.6357142857142857,0.5265151515151515
37,0.6210739614994933,0.5681818181818182,0.7043478260869566,0.7045454545454545
38,0.5868055555555556,0.6628787878787878,0.7588652482269503,0.7045454545454546
39,0.5096153846153846,0.6287878787878788,0.678030303030303,0.6704545454545454
40,0.652093023255814,0.6628787878787878,0.575,0.5946969696969697
41,0.7043478260869566,0.6515151515151515,0.6899696048632218,0.5946969696969696
42,0.6222222222222222,0.6628787878787878,0.7058823529411765,0.8106060606060606
43,0.6977777777777778,0.6553030303030303,0.6458333333333333,0.640151515151515
44,0.5392953929539295,0.6439393939393939,0.6421052631578947,0.6477272727272727
45,0.47692307692307695,0.606060606060606,0.6470588235294117,0.6401515151515151
46,0.652093023255814,0.6666666666666666,0.7509157509157509,0.8068181818181818
47,0.6458333333333333,0.7537878787878787,0.7166666666666667,0.6893939393939393
48,0.47692307692307695,0.678030303030303,0.7312252964426877,0.6818181818181818
49,0.6136363636363636,0.6628787878787878,0.7043478260869566,0.6704545454545455
50,0.6136363636363636,0.6590909090909091,0.6713211600429645,0.6477272727272727
51,0.5824561403508772,0.5643939393939393,0.6886446886446886,0.6401515151515151
52,0.47692307692307695,0.6401515151515151,0.6357142857142857,0.6401515151515151
53,0.47692307692307695,0.7348484848484849,0.7166666666666667,0.6856060606060606
54,0.6173160173160173,0.6363636363636362,0.7043478260869566,0.5946969696969697
55,0.5729468599033817,0.571969696969697,0.6621499548328816,0.6742424242424243
56,0.47692307692307695,0.7159090909090908,0.6977777777777778,0.6287878787878788
57,0.5888372093023255,0.6022727272727273,0.6421052631578947,0.5833333333333334
58,0.5502645502645502,0.6856060606060606,0.7571428571428571,0.7234848484848485
59,0.59828141783029,0.6553030303030303,0.678030303030303,0.7159090909090909
60,0.652093023255814,0.6856060606060606,0.7017543859649122,0.7159090909090909
61,0.6977777777777778,0.7310606060606061,0.7350649350649351,0.7878787878787878
62,0.6621499548328816,0.7310606060606061,0.652093023255814,0.5606060606060606
63,0.6421052631578947,0.7272727272727273,0.652093023255814,0.5909090909090909
64,0.6150943396226416,0.6931818181818181,0.652093023255814,0.5871212121212122
65,0.6146469049694856,0.6590909090909092,0.6173160173160173,0.5946969696969697
66,0.5521783181357649,0.6174242424242424,0.6977777777777778,0.6212121212121212
67,0.6730769230769231,0.6590909090909091,0.6886446886446886,0.7007575757575758
68,0.5888372093023255,0.6022727272727273,0.6458333333333333,0.6212121212121212
69,0.6386473429951691,0.7007575757575758,0.744360902255639,0.7613636363636364
70,0.5502645502645502,0.7386363636363635,0.6713211600429645,0.6515151515151515
