seed,single_f1,single_auc,multi_f1,multi_auc
1,0.7571428571428571,0.7840909090909091,0.6386473429951691,0.6856060606060606
2,0.6007226738934056,0.571969696969697,0.575,0.5909090909090908
3,0.47692307692307695,0.7196969696969697,0.6222222222222222,0.7159090909090909
4,0.6899696048632218,0.7272727272727272,0.6899696048632218,0.6515151515151516
5,0.5868055555555556,0.7575757575757576,0.6713211600429645,0.6969696969696969
6,0.770048309178744,0.7765151515151515,0.6386473429951691,0.6931818181818182
7,0.6713211600429645,0.6818181818181818,0.59828141783029,0.6628787878787878
8,0.5466666666666666,0.6704545454545454,0.6470588235294117,0.6893939393939394
9,0.5490716180371353,0.571969696969697,0.6470588235294117,0.6515151515151515
10,0.575,0.6325757575757576,0.6458333333333333,0.6212121212121212
11,0.5888372093023255,0.6363636363636364,0.6357142857142857,0.6893939393939394
12,0.6640316205533596,0.6856060606060607,0.6222222222222222,0.5871212121212122
13,0.6713211600429645,0.6401515151515151,0.6886446886446886,0.6666666666666666
14,0.678030303030303,0.6704545454545454,0.7312252964426877,0.6704545454545454
15,0.5096153846153846,0.6856060606060606,0.6640316205533596,0.7196969696969697
16,0.5888372093023255,0.6893939393939394,0.7424242424242424,0.7386363636363636
17,0.575,0.5946969696969697,0.7043478260869566,0.7575757575757576
18,0.46031746031746035,0.6704545454545454,0.652093023255814,0.6022727272727273
19,0.7424242424242424,0.6893939393939394,0.6470588235294117,0.5492424242424242
20,0.575,0.6363636363636364,0.6210739614994933,0.6666666666666666
21,0.5686274509803921,0.6742424242424242,0.6977777777777778,0.678030303030303
22,0.652093023255814,0.7386363636363636,0.652093023255814,0.6325757575757576
23,0.5686274509803921,0.6401515151515151,0.6713211600429645,0.6477272727272727
24,0.6210739614994933,0.7007575757575757,0.6713211600429645,0.6856060606060606
25,0.6386473429951691,0.6818181818181819,0.6357142857142857,0.5984848484848485
26,0.6470588235294117,0.6515151515151515,0.6210739614994933,0.6818181818181818
27,0.575,0.6553030303030303,0.6386473429951691,0.5492424242424242
28,0.46031746031746035,0.6022727272727273,0.6470588235294117,0.6022727272727273
29,0.5466666666666666,0.696969696969697,0.7153488372093023,0.7159090909090908
30,0.5466666666666666,0.6060606060606061,0.6713211600429645,0.662878787878788
31,0.46031746031746035,0.625,0.6263736263736264,0.5795454545454546
32,0.46031746031746035,0.7159090909090909,0.6713211600429645,0.6287878787878787
33,0.5968379446640316,0.6590909090909091,0.7235772357723578,0.7272727272727273
34,0.5521783181357649,0.75,0.652093023255814,0.6780303030303031
35,0.5913461538461539,0.7272727272727273,0.678030303030303,0.6856060606060606
36,0.7588652482269503,0.7575757575757576,0.6210739614994933,0.6136363636363635
37,0.6210739614994933,0.5681818181818182,0.6977777777777778,0.678030303030303
38,0.5868055555555556,0.6628787878787878,0.6621499548328816,0.7234848484848485
39,0.5096153846153846,0.6287878787878788,0.6386473429951691,0.5492424242424242
40,0.652093023255814,0.6628787878787878,0.678030303030303,0.6212121212121212
41,0.7043478260869566,0.6515151515151515,0.6150943396226416,0.6022727272727273
42,0.6222222222222222,0.6628787878787878,0.6222222222222222,0.6628787878787878
43,0.6977777777777778,0.6553030303030303,0.6470588235294117,0.6477272727272727
44,0.5392953929539295,0.6439393939393939,0.6210739614994933,0.6666666666666666
45,0.47692307692307695,0.606060606060606,0.6222222222222222,0.6325757575757576
46,0.652093023255814,0.6666666666666666,0.7166666666666667,0.7121212121212122
47,0.6458333333333333,0.7537878787878787,0.6977777777777778,0.7462121212121212
48,0.47692307692307695,0.678030303030303,0.6150943396226416,0.6590909090909092
49,0.6136363636363636,0.6628787878787878,0.678030303030303,0.6136363636363636
50,0.6136363636363636,0.6590909090909091,0.6730769230769231,0.6212121212121212
51,0.5824561403508772,0.5643939393939393,0.7153488372093023,0.6704545454545454
52,0.47692307692307695,0.6401515151515151,0.6222222222222222,0.6212121212121212
53,0.47692307692307695,0.7348484848484849,0.7166666666666667,0.7348484848484849
54,0.6173160173160173,0.6363636363636362,0.6899696048632218,0.6439393939393939
55,0.5729468599033817,0.571969696969697,0.59828141783029,0.6022727272727273
56,0.47692307692307695,0.7159090909090908,0.6458333333333333,0.6136363636363636
57,0.5888372093023255,0.6022727272727273,0.5968379446640316,0.6212121212121212
58,0.5502645502645502,0.6856060606060606,0.678030303030303,0.75
59,0.59828141783029,0.6553030303030303,0.7153488372093023,0.6628787878787878
60,0.652093023255814,0.6856060606060606,0.6899696048632218,0.6477272727272727
61,0.6977777777777778,0.7310606060606061,0.6458333333333333,0.7196969696969697
62,0.6621499548328816,0.7310606060606061,0.652093023255814,0.5606060606060606
63,0.6421052631578947,0.7272727272727273,0.6386473429951691,0.7196969696969697
64,0.6150943396226416,0.6931818181818181,0.652093023255814,0.571969696969697
65,0.6146469049694856,0.6590909090909092,0.5968379446640316,0.6401515151515151
66,0.5521783181357649,0.6174242424242424,0.7043478260869566,0.6553030303030303
67,0.6730769230769231,0.6590909090909091,0.652093023255814,0.659090909090909
68,0.5888372093023255,0.6022727272727273,0.6386473429951691,0.6553030303030303
69,0.6386473429951691,0.7007575757575758,0.6977777777777778,0.7575757575757576
70,0.5502645502645502,0.7386363636363635,0.6007226738934056,0.5227272727272727
