seed,original_auc,original_f1,cleaned_auc,cleaned_f1
1,0.6098484848484849,0.5405405405405406,0.7083333333333334,0.6428571428571429
2,0.4469696969696969,0.3076923076923077,0.7386363636363636,0.5217391304347826
3,0.4696969696969697,0.5217391304347826,0.6401515151515151,0.5217391304347826
4,0.7045454545454546,0.5217391304347826,0.7196969696969697,0.5217391304347826
5,0.4053030303030303,0.5217391304347826,0.625,0.5217391304347826
6,0.3068181818181818,0.5217391304347826,0.7651515151515151,0.6
7,0.678030303030303,0.5217391304347826,0.6893939393939394,0.5217391304347826
8,0.553030303030303,0.5454545454545454,0.6666666666666666,0.5238095238095238
9,0.6060606060606061,0.6111111111111112,0.6439393939393939,0.5238095238095238
10,0.6553030303030303,0.5217391304347826,0.6818181818181819,0.5333333333333333
11,0.3295454545454546,0.5217391304347826,0.6439393939393939,0.5882352941176471
12,0.3939393939393939,0.5217391304347826,0.5643939393939394,0.5238095238095238
13,0.5151515151515151,0.5217391304347826,0.7159090909090908,0.5217391304347826
14,0.6098484848484849,0.5217391304347826,0.6818181818181818,0.5853658536585366
15,0.36363636363636365,0.5217391304347826,0.7272727272727273,0.5217391304347826
16,0.46969696969696967,0.55,0.7613636363636364,0.6666666666666666
17,0.5,0.5217391304347826,0.7272727272727273,0.6285714285714286
18,0.48863636363636365,0.5217391304347826,0.6212121212121212,0.5217391304347826
19,0.7689393939393939,0.5217391304347826,0.6515151515151515,0.5217391304347826
20,0.5795454545454545,0.5217391304347826,0.7007575757575757,0.5925925925925926
21,0.768939393939394,0.5217391304347826,0.6931818181818181,0.5581395348837209
22,0.5643939393939393,0.5217391304347826,0.6515151515151515,0.5217391304347826
23,0.4696969696969697,0.5217391304347826,0.7272727272727273,0.5217391304347826
24,0.3181818181818181,0.5217391304347826,0.6590909090909092,0.5333333333333333
25,0.5340909090909092,0.2857142857142857,0.6931818181818181,0.6111111111111112
26,0.3446969696969697,0.5217391304347826,0.5681818181818182,0.5217391304347826
27,0.3143939393939394,0.5217391304347826,0.6704545454545455,0.6060606060606061
28,0.42803030303030304,0.5217391304347826,0.6590909090909091,0.5217391304347826
29,0.5681818181818181,0.5263157894736842,0.6818181818181818,0.6470588235294118
30,0.4128787878787879,0.5217391304347826,0.6628787878787878,0.5217391304347826
